rid,work,lang,author,role,written
bdr:MW4CZ355766,bdr:WA4CZ355766,,,no creator on the work,no
bdr:MW1KG12969,bdr:WA1KG12969,,,no creator on the work,no
bdr:MW1KG5662,bdr:WA1KG5662,,,no creator on the work,no
bdr:MW1KG5663,bdr:WA1KG5663,,,no creator on the work,no
bdr:MW2PD19981,bdr:WA2PD19981,,,no creator on the work,no
bdr:MW00EGS1016759,bdr:WA00EGS1016759,,,no creator on the work,no
bdr:MW24025,bdr:WA24025,,,no creator on the work,no
bdr:MW4PD1390,bdr:WA4PD1390,,,no creator on the work,no
bdr:MW4CZ58846,bdr:WA4CZ58846,,,no creator on the work,no
bdr:MW1KG11865,bdr:WA1KG11865,,,no creator on the work,no
bdr:MW1KG17447,bdr:WA1KG17447,,,no creator on the work,no
bdr:MW8CZ105,bdr:WA8CZ105,,,no creator on the work,no
bdr:MW23685,bdr:WA23685,,,no creator on the work,no
bdr:MW23777,bdr:WA23777,,,no creator on the work,no
bdr:MW23658,bdr:WA23658,,,no creator on the work,no
bdr:MW1KG11881,bdr:WA1KG11881,,,no creator on the work,no
bdr:MW23437,bdr:WA23437,,,no creator on the work,no
bdr:MW24042,bdr:WA24042,,,no creator on the work,no
bdr:MW3CN5222,bdr:WA3CN5222,,,no creator on the work,no
bdr:MW1KG4231,bdr:WA1KG4231,,,no creator on the work,no
bdr:MW4CZ57651,bdr:WA4CZ57651,,,no creator on the work,no
bdr:MW3CN2456,bdr:WA3CN2456,,,no creator on the work,no
bdr:MW1KG3724,bdr:WA1KG3724,,,no creator on the work,no
bdr:MW1KG1751,bdr:WA1KG1751,,,no creator on the work,no
bdr:MW23916,bdr:WA23916,,,no creator on the work,no
bdr:MW3CN2837,bdr:WA3CN2837,,,no creator on the work,no
bdr:MW00EGS1016261,bdr:WA00EGS1016261,,,no creator on the work,no
bdr:MW8CZ102,bdr:WA8CZ102,,,no creator on the work,no
bdr:MW8LS17501,bdr:WA8LS17501,,,no creator on the work,no
bdr:MW2CZ8092,bdr:WA2CZ8092,,,no creator on the work,no
bdr:MW3CN9311,bdr:WA3CN9311,,,no creator on the work,no
bdr:MW1NLM5552,bdr:WA1NLM5552,,,no creator on the work,no
bdr:MW1NLM5555,bdr:WA1NLM5555,,,no creator on the work,no
bdr:MW1NLM5556,bdr:WA1NLM5556,,,no creator on the work,no
bdr:MW1NLM5557,bdr:WA1NLM5557,,,no creator on the work,no
bdr:MW1NLM5507,bdr:WA1NLM5507,,,no creator on the work,no
bdr:MW1NLM350,bdr:WA1NLM350,,,no creator on the work,no
bdr:MW1NLM5520,bdr:WA1NLM5520,,,no creator on the work,no
bdr:MW1NLM5537,bdr:WA1NLM5537,,,no creator on the work,no
bdr:MW1NLM5551,bdr:WA1NLM5551,,,no creator on the work,no
bdr:MW3CN21631,bdr:WA3CN21631,bo-x-ewts,rgyal tshab dar ma rin chen/ mkhas grub rje dge legs dpal bzang / tsong kha pa blo bzang grags pa/,main author,yes
bdr:MW3CN22977,bdr:WA3CN22977,bo-x-ewts,mkhas grub rje dge legs dpal bzang / rgyal tshab dar ma rin chen/ dge 'dun grub pa/ tsong kha pa blo bzang grags pa/,main author,yes
bdr:MW30172,bdr:WA30172,bo-x-ewts,shan+ti pa blo gros rgyal mtshan/,main author,yes
bdr:MW8LS75609,bdr:WA8LS75609,,,no creator on the work,no
bdr:MW1NLM5509,bdr:WA1NLM5509,,,no creator on the work,no
bdr:MW1NLM5516,bdr:WA1NLM5516,,,no creator on the work,no
bdr:MW29231,bdr:WA29231,,,no creator on the work,no
bdr:MW25577,bdr:WA25577,,,no creator on the work,no
bdr:MW1KG1645,bdr:WA1KG1645,,,no creator on the work,no
bdr:MW26459,bdr:WA26459,,,no creator on the work,no
bdr:MW1GS58283,bdr:WA1GS58283,,,no creator on the work,no
bdr:MW1KG5109,bdr:WA1KG5109,,,no creator on the work,no
bdr:MW1KG5132,bdr:WA1KG5132,,,no creator on the work,no
bdr:MW1KG5133,bdr:WA1KG5133,,,no creator on the work,no
bdr:MW8140,bdr:WA8140,bo-x-ewts,rong po grub chen 02 ngag dbang 'phrin las rgya mtsho/,main author,yes
bdr:MW1KG10037,bdr:WA1KG10037,bo-x-ewts,shel dkar bka' 'gyur bla ma ngag dbang blo bzang bstan 'dzin tshul khrims rgyal mtshan/,main author,yes
bdr:MW1PD53265,bdr:WA1PD53265,,,no creator on the work,no
bdr:MW1KG988,bdr:WA1KG988,,,no creator on the work,no
