rid,work,lang,author,role,written
bdr:MW4CZ355852,bdr:WA4CZ355852,,,no creator on the work,no
bdr:MW4CZ58528,bdr:WA4CZ58528,,,no creator on the work,no
bdr:MW00EGS1016278,bdr:WA00EGS1016278,,,no creator on the work,no
bdr:MW1KG15887,bdr:WA1KG15887,,,no creator on the work,no
bdr:MW1KG17585,bdr:WA1KG17585,bo-x-ewts,ma cig lab kyi sgron ma/,attributed author,yes
bdr:MW1KG22476,bdr:WA1KG22476,,,no creator on the work,no
bdr:MW1KG22486,bdr:WA1KG22486,,,no creator on the work,no
bdr:MW1KG23704,bdr:WA1KG23704,,,no creator on the work,no
bdr:MW1KG25228,bdr:WA1KG25228,,,no creator on the work,no
bdr:MW1NLM1697,bdr:WA1NLM1697,,,no creator on the work,no
bdr:MW1NLM1825,bdr:WA1NLM1825,,,no creator on the work,no
bdr:MW1NLM1873,bdr:WA1NLM1873,,,no creator on the work,no
bdr:MW1NLM1973,bdr:WA1NLM5035,,,no creator on the work,no
bdr:MW1NLM1997,bdr:WA1NLM1997,,,no creator on the work,no
bdr:MW1NLM21,bdr:WA1NLM21,,,no creator on the work,no
bdr:MW1NLM2566,bdr:WA1NLM2566,,,no creator on the work,no
bdr:MW1NLM2609,bdr:WA1NLM2609,,,no creator on the work,no
bdr:MW1NLM2680,bdr:WA1NLM2680,,,no creator on the work,no
bdr:MW1NLM3057,bdr:WA1NLM3057,,,no creator on the work,no
bdr:MW1NLM3262,bdr:WA1NLM3262,bo-x-ewts,dkon mchog rgyal mtshan/ ma cig lab kyi sgron ma/,main author,yes
bdr:MW1NLM3466,bdr:WA1NLM3466,,,no creator on the work,no
bdr:MW1NLM3530,bdr:WA1NLM3530,bo-x-ewts,gshongs chen pa bstan pa'i rgyal mtshan/,main author,yes
bdr:MW1NLM3976,bdr:WA1NLM3976,,,no creator on the work,no
bdr:MW3CN25705,bdr:WA3CN25705,,,no creator on the work,no
bdr:MW3CN2624,bdr:WA3CN2624,,,no creator on the work,no
bdr:MW4CZ294727,bdr:WA4CZ294727,,,no creator on the work,no
bdr:MW4PD1121,bdr:WA4PD1121,,,no creator on the work,no
bdr:MW8LS16250,bdr:WA8LS16250,,,no creator on the work,no
bdr:MW8LS18341,bdr:WA8LS18341,,,no creator on the work,no
bdr:MW8LS67516,bdr:WA8LS67516,bo-x-ewts,mkha' 'gro bde chen dbang mo/,tertön,yes
bdr:MW1NLM4154,bdr:WA1NLM4154,,,no creator on the work,no
bdr:MW1NLM4158,bdr:WA1NLM4158,,,no creator on the work,no
bdr:MW1NLM459,bdr:WA1NLM459,,,no creator on the work,no
bdr:MW3JT13604,bdr:WA3JT13604,,,no creator on the work,no
bdr:MW8LS16597,bdr:WA8LS16597,,,no creator on the work,no
bdr:MW8LS18311,bdr:WA8LS18311,,,no creator on the work,no
bdr:MW8LS31015,bdr:WA8LS31015,,,no creator on the work,no
bdr:MW8LS32702,bdr:WA8LS32702,,,no creator on the work,no
bdr:MW2PD20562,bdr:WA2PD20562,,,no creator on the work,no
bdr:MW2PD20785,bdr:WA2PD20785,,,no creator on the work,no
bdr:MW23756,bdr:WA23756,,,no creator on the work,no
bdr:MW23820,bdr:WA23820,bo-x-ewts,gnas mdo karma chags med/,contributing author,yes
bdr:MW1KG3709,bdr:WA1KG3709,bo-x-ewts,nyag rong gter ston gsang sngags gling pa/,tertön,yes
bdr:MW1KG10548,bdr:WA1KG10548,,,no creator on the work,no
bdr:MW3CN2908,bdr:WA3CN2908,,,no creator on the work,no
bdr:MW2PD17496,bdr:WA2PD17496,,,no creator on the work,no
bdr:MW1PD159424,bdr:WA1PD159424,,,no creator on the work,no
bdr:MW3CN7099,bdr:WA3CN7099,,,no creator on the work,no
bdr:MW3CN3393,bdr:WA3CN3393,,,no creator on the work,no
bdr:MW3CN25675,bdr:WA3CN25675,,,no creator on the work,no
bdr:MW8CZ111,bdr:WA8CZ111,,,no creator on the work,no
bdr:MW1KG5328,bdr:WA1KG5328,,,no creator on the work,no
bdr:MW3CN7481,bdr:WA3CN7481,,,no creator on the work,no
bdr:MW3CN7087,bdr:WA3CN7087,,,no creator on the work,no
bdr:MW20515,bdr:WA20515,,,no creator on the work,no
bdr:MW1KG10728,bdr:WA1KG10728,bo-x-ewts,dpang lo tsA ba blo gros brtan pa/,commentator,yes
bdr:MW29676,bdr:WA29676,,,no creator on the work,no
bdr:MW00KG03611,bdr:WA00KG03611,,,no creator on the work,no
bdr:MW3CN9999,bdr:WA3CN9999,,,no creator on the work,no
bdr:MW2DB4592,bdr:WA1KG16210,,,no creator on the work,no
bdr:MW3CN21710,bdr:WA3CN21710,,,no creator on the work,no
bdr:MW3CN697,bdr:WA3CN697,,,no creator on the work,no
bdr:MW8LS76163,bdr:WA8LS76163,,,no creator on the work,no
bdr:MW00KG04,bdr:WA00KG04,,,no creator on the work,no
bdr:MW1KG13814,bdr:WA1KG13814,,,no creator on the work,no
bdr:MW1KG18760,bdr:WA1KG18760,,,no creator on the work,no
bdr:MW1KG5369,bdr:WA1KG5369,,,no creator on the work,no
bdr:MW1PD53274,bdr:WA1PD53274,,,no creator on the work,no
bdr:MW21500,bdr:WA21500,,,no creator on the work,no
bdr:MW2KG761,bdr:WA2KG761,,,no creator on the work,no
bdr:MW2PD19887,bdr:WA2PD19887,,,no creator on the work,no
bdr:MW3CN5192,bdr:WA3CN5192,,,no creator on the work,no
bdr:MW3CN5195,bdr:WA3CN5195,,,no creator on the work,no
bdr:MW3CN5198,bdr:WA3CN5198,,,no creator on the work,no
bdr:MW3CN5207,bdr:WA3CN5207,,,no creator on the work,no
bdr:MW3CN5237,bdr:WA3CN5237,,,no creator on the work,no
bdr:MW3CN5261,bdr:WA3CN5261,,,no creator on the work,no
bdr:MW3CN5279,bdr:WA3CN5279,,,no creator on the work,no
bdr:MW3CN8018,bdr:WA3CN8018,,,no creator on the work,no
bdr:MW3CN8021,bdr:WA3CN8021,,,no creator on the work,no
bdr:MW4CZ368775,bdr:WA4CZ368775,,,no creator on the work,no
bdr:MW8LS18232,bdr:WA8LS18232,,,no creator on the work,no
bdr:MW8LS18238,bdr:WA8LS18238,,,no creator on the work,no
bdr:MW3CN541,bdr:WA3CN541,,,no creator on the work,no
bdr:MW1CZ2486,bdr:WA1CZ2486,,,no creator on the work,no
bdr:MW1CZ897,bdr:WA1CZ897,,,no creator on the work,no
bdr:MW8LS17664,bdr:WA8LS17664,,,no creator on the work,no
bdr:MW1PD181192,bdr:WA1PD181192,,,no creator on the work,no
bdr:MW3CN22325,bdr:WA17319,bo-x-ewts,yar rje o rgyan gling pa/,tertön,yes
bdr:MW3CN2591,bdr:WA3CN2591,,,no creator on the work,no
bdr:MW29203,bdr:WA29203,,,no creator on the work,no
bdr:MW4CZ48435,bdr:WA4CZ48435,,,no creator on the work,no
bdr:MW1KG17090,bdr:WA1KG17090,,,no creator on the work,no
bdr:MW1NLM3080,bdr:WA1NLM3080,,,no creator on the work,no
bdr:MW3CN22799,bdr:WA3CN22799,,,no creator on the work,no
bdr:MW3CN26463,bdr:WA3CN26463,,,no creator on the work,no
bdr:MW8LS15954,bdr:WA8LS15954,,,no creator on the work,no
bdr:MW1KG17091,bdr:WA1KG17091,,,no creator on the work,no
